Rank,Count,Score,Text,Author-last,Author-first,Date
878,298,38,Essential Biology,Campbell,Neil A.,1946
879,298,38,Symphony No. 8,Mahler,Gustav,1860-1911
880,298,38,Fathers and Sons,Turgenev,Ivan Sergeevich,1818-1883
881,298,38,Jumpers,Stoppard,Tom,
882,297,37.8,Critique of Judgment,Kant,Immanuel,1724-1804
883,297,37.8,Elementary Differential Equations and Boundary Value Problems,Boyce,William E.,
884,297,37.8,Dispatches,Herr,Michael,
885,297,37.8,Thinking in Java,Eckel,Bruce,
886,297,37.8,War and Peace,Tolstoy,Leo,1828-1910
887,297,37.8,Social Psychology,Aronson,Elliot,
888,296,37.7,Stalin,Trotsky,Leon,1879-1940
889,296,37.7,Architecture : Form Space & Order,Ching,Frank,1943
890,296,37.7,Merleau-Ponty,SARTRE,Jean-Paul,
891,296,37.7,The History of Rome,Livy,,
892,295,37.6,Essence of Decision; Explaining the Cuban Missile Crisis,Allison,Graham T.,
893,295,37.6,Writing for Social Scientists : How to Start and Finish Your Thesis,Becker,Howard Saul,1928
894,295,37.6,Physiology of Behavior,Carlson,Neil R.,1942
895,295,37.6,The Lake Isle of Innisfree,Yeats,W. B. (William Butler),1865-1939
896,295,37.6,Surviving Your Dissertation : A Comprehensive Guide to Content and Process,Rudestam,Kjell Erik,
897,295,37.6,Gods in Alabama,Jackson,Joshilyn,
898,294,37.5,Writing at University : A Guide for Students,Creme,Phyllis,1942
899,294,37.5,The Consequences of Modernity,Giddens,Anthony,
900,294,37.5,The Condition of the Working Class in England,Engels,Friedrich,1820-1895
901,294,37.5,The Mystery of Capital,Soto,Hernando De,1941
902,294,37.5,The Decline and Fall of the Roman Empire,Gibbon,Edward,1737-1794
903,294,37.5,Practices of Looking : An Introduction to Visual Culture,Sturken,Marita,1957
904,293,37.3,The Black Atlantic : Modernity and Double Consciousness,Gilroy,Paul,
905,293,37.3,The Great Fire,Hazzard,Shirley,1931
906,293,37.3,The Russian Revolution,Lenin,Vladimir Ilʹich,1870-1924
907,293,37.3,Civil War 2000,Henry,Charles P.,
908,292,37.2,Behaviorism,Watson,John B. (John Broadus),1878-1958
909,292,37.2,Human-Computer Interaction,Preece,Jenny,1949
910,292,37.2,The End of History and the Last Man,Fukuyama,Francis,
911,292,37.2,Technical Communication,Lannon,John M.,
912,292,37.2,White Teeth,Smith,Zadie,
913,291,37.1,Language Truth and Logic,Ayer,A. J. (Alfred Jules),1910-1989
914,291,37.1,The Purloined Letter,Poe,Edgar Allan,1809-1849
915,291,37.1,Transgress,Hooks,Bell,
916,291,37.1,New Books,Smith,Norman Kemp,
917,291,37.1,William James,Dewey,John,
918,290,36.9,International Relations,Goldstein,Joshua S.,1952
919,290,36.9,Understanding Nutrition,Whitney,Eleanor Noss,
920,290,36.9,We Real Cool,Brooks,Gwendolyn,Poetry
921,290,36.9,The Postmodern Condition : A Report on Knowledge,Lyotard,Jean François,1924-1998
922,290,36.9,City of Quartz : Excavating the Future in Los Angeles,Davis,Mike,1946
923,290,36.9,In the Wake,Petterson,Per,1952
924,290,36.9,Java in a Nutshell,Flanagan,David,
925,289,36.8,Thus Spoke Zarathustra,Nietzsche,Friedrich Wilhelm,1844-1900
926,289,36.8,Modern Times,Chaplin,Charlie,1889-1977
927,289,36.8,Interpreter of Maladies,Lahiri,Jhumpa Agni,
928,289,36.8,The Three Theban Plays,Sophocles,,
929,289,36.8,Inside Terrorism,Hoffman,Bruce,1954
930,289,36.8,Computer Networks and Internets,Comer,Douglas,
931,289,36.8,Statistical Methods for Psychology,Howell,David C.,
932,289,36.8,Paris Trout,Dexter,Pete,1943
933,289,36.8,Principles of Mathematical Analysis,Rudin,Walter,1921
934,289,36.8,Winesburg Ohio,Anderson,Sherwood,1876-1941
935,288,36.7,Microeconomic Theory,Mas-Colell,Andreu,
936,288,36.7,The Political Economy of International Relations,Gilpin,Robert,
937,288,36.7,Has Globalization Gone Too Far,Rodrik,Dani,
938,288,36.7,The Principles of Psychology,James,William,1842-1910
939,288,36.7,An Inquiry Into the Nature and Causes of the Wealth of Nations,Smith,Adam,1723-1790
940,288,36.7,Charlotte Temple,Rowson,Mrs.,1762-1824
941,288,36.7,The Theory of Industrial Organization,Tirole,Jean,
942,288,36.7,Mark Twain and I,Read,Opie Percival,1852-1939
943,288,36.7,Naked in Baghdad,Garrels,Anne,1951
944,287,36.6,Influence : Science and Practice,Cialdini,Robert B.,
945,287,36.6,Looking for a Ship,McPhee,John,1931
946,287,36.6,Power and Interdependence,Keohane,Robert O. (Robert Owen),1941
947,287,36.6,Power : A Radical View,Lukes,Steven,
948,286,36.4,Biological Psychology,Kalat,James W.,
949,286,36.4,Principles of Instrumental Analysis,Skoog,Douglas A.,
950,286,36.4,A Guide to Physical Examination,Bates,Barbara,1928
951,286,36.4,Without Feathers,Allen,Woody,
952,285,36.3,HTML 4 for the World Wide Web,Castro,Elizabeth,
953,284,36.2,A Handbook to Literature,Holman,C. Hugh (Clarence Hugh),1914
954,284,36.2,The Fall of Baghdad,Anderson,Jon Lee,
955,284,36.2,What Is It Like to Be a Bat,Nagel,Thomas,
956,284,36.2,Numerical Analysis,Burden,Richard L.,
957,284,36.2,How Languages Are Learned,Lightbown,Patsy,
958,284,36.2,The House of the Spirits,Allende,Isabel,
959,284,36.2,Maps for Lost Lovers,Aslam,Nadeem,
960,284,36.2,What Is This Thing Called Science,Chalmers,A. F.,
961,284,36.2,Designing Web Usability,Nielsen,Jakob,1957
962,284,36.2,Linear Algebra and Its Applications,Lay,David C.,
963,283,36.1,Alcestis,Euripides,,
964,283,36.1,Regeneration,Barker,Pat,1943
965,283,36.1,Silas Marner,Eliot,George,1819-1880
966,283,36.1,Invisible Cities,Calvino,Italo,
967,283,36.1,The Comedy,Dante Alighieri,,1265-1321
968,283,36.1,The Divine Comedy,Dante Alighieri,,1265-1321
969,282,35.9,Judgment Under Uncertainty: Heuristics and Biases,Tversky,Amos,
970,282,35.9,Maggie a Girl of the Streets,Crane,Stephen,1871-1900
971,282,35.9,The Renaissance,Pater,Walter,1839-1894
972,282,35.9,Naming and Necessity,Kripke,Saul A.,1940
973,282,35.9,Shakespeare,Bevington,David M.,
974,282,35.9,Life on Earth,Audesirk,Teresa,
975,282,35.9,Paradise Lost. Books 1-2,Milton,John,1608-1674
976,282,35.9,The Wizard of Oz,Baum,L. Frank (Lyman Frank),1856-1919
977,282,35.9,A Different Mirror : A History of Multicultural America,Takaki,Ronald T.,1939-2009
978,282,35.9,The Laugh of the Medusa,Cixous,Hélène,
979,281,35.8,Negotiation,Lewicki,Roy J.,
980,281,35.8,The American Revolution,Thomas,Peter David Garner,
981,281,35.8,The Two Cultures,Snow,C. P. (Charles Percy),1905-1980
982,281,35.8,The Big Sleep,Chandler,Raymond,1888-1959
983,281,35.8,Governing the Commons : The Evolution of Institutions for Collective Action,Ostrom,Elinor,
984,281,35.8,Ticknor,Heti,Sheila,1976
985,280,35.7,Light in August,Faulkner,William,1897-1962
986,280,35.7,Fables,Aesop,,
987,280,35.7,The White Earth,McGahan,Andrew,
988,280,35.7,The Rules of Sociological Method,Durkheim,Émile,1858-1917
989,280,35.7,Biographia Literaria,Coleridge,Samuel Taylor,1772-1834
990,280,35.7,Epistemology of the Closet,Sedgwick,Eve Kosofsky,
991,279,35.5,A Letter Concerning Toleration,Locke,John,1632-1704
992,279,35.5,Mere Christianity,Lewis,C. S. (Clive Staples),1898-1963
993,279,35.5,The Marriage of Heaven and Hell,Blake,William,1757-1827
994,279,35.5,Laws,New York (State),,
995,278,35.4,Politics as a Vocation,Weber,Max,1864-1920
996,278,35.4,Slightly Out of Focus,Capa,Robert,1913-1954
997,278,35.4,Brotherly Love,Dexter,Pete,1943
998,278,35.4,Thomas' Calculus,Weir,Maurice D.,
999,278,35.4,The House of the Seven Gables,Hawthorne,Nathaniel,1804-1864
1000,278,35.4,Keywords : A Vocabulary of Culture and Society,Williams,Raymond,
